"seqn","hoq040","hod050","hod060","hoq065","hoq070","hoq080"
51978,1,5,5,1,1,1
51979,99,5,2,2,1,2
51980,6,8,5,1,2,1
51981,4,4,2,2,1,2
51982,5,6,3,2,1,2
51983,6,4,3,2,2,2
51984,3,5,3,1,1,1
51985,3,9,5,1,1,1
51986,4,8,5,1,1,2
51987,4,5,1,2,1,2
51988,77,2,3,2,1,2
51989,3,2,2,2,1,2
51990,3,7,2,2,1,2
51991,1,9,4,1,2,1
51992,1,5,3,1,1,2
51993,1,6,5,1,1,2
51994,6,10,5,1,2,1
51995,99,6,5,3,1,1
51996,1,6,1,2,1,2
51997,1,7,5,1,1,2
51998,3,5,2,3,1,2
51999,99,6,1,2,1,2
52000,6,3,1,2,1,2
52001,3,6,4,1,1,2
52002,4,5,5,1,1,2
52003,2,8,3,1,1,2
52004,99,6,1,2,1,1
52005,99,5,4,2,1,2
52006,99,3,1,2,1,2
52007,1,6,2,1,1,1
52008,6,6,4,1,1,2
52009,3,8,5,1,1,2
52010,99,5,2,2,1,2
52011,99,7,3,2,1,2
52012,4,8,5,1,1,2
52013,3,6,4,1,1,2
52014,1,6,4,1,1,2
52015,6,7,3,1,1,2
52016,3,4,5,1,1,2
52017,3,4,2,2,9,1
52018,1,10,1,1,1,1
52019,1,5,2,2,1,1
52020,3,5,3,2,1,1
52021,6,7,5,1,1,2
52022,1,3,2,2,1,2
52023,6,8,4,1,2,1
52024,6,6,2,2,1,2
52025,6,6,1,2,1,2
52026,6,8,5,1,1,2
52027,3,4,3,2,1,2
52028,99,4,1,2,9,2
52029,3,8,3,1,1,1
52030,99,7,1,2,1,2
52031,6,7,5,1,1,2
52032,1,6,3,1,1,1
52033,3,7,4,1,1,2
52034,4,4,2,2,1,2
52035,3,5,3,1,1,1
52036,6,1,2,2,1,2
52037,1,8,4,1,1,2
52038,4,10,5,1,1,2
52039,1,5,1,2,1,2
52040,99,3,1,2,1,2
52041,1,7,4,1,1,2
52042,2,6,5,1,1,1
52043,3,5,5,1,1,1
52044,1,9,2,1,1,1
52045,2,4,1,2,1,2
52046,1,12,4,1,1,1
52047,3,4,3,2,1,2
52048,3,5,3,1,1,2
52049,3,9,5,1,1,2
52050,1,5,4,1,1,1
52051,6,5,4,1,1,2
52052,99,5,5,1,1,2
52053,4,2,3,2,1,2
52054,4,7,5,1,1,2
52055,4,6,4,3,1,1
52056,99,5,2,2,1,2
52057,99,5,1,2,1,2
52058,3,6,2,2,1,2
52059,1,3,3,2,1,1
52060,6,10,4,1,1,2
52061,99,7,1,2,1,2
52062,4,5,3,1,2,1
52063,3,5,3,2,2,2
52064,5,6,1,2,1,1
52065,4,7,5,1,1,1
52066,2,5,1,2,1,2
52067,3,7,2,1,1,2
52068,6,7,4,1,1,1
52069,1,8,2,1,2,2
52070,99,4,4,1,1,2
52071,2,7,3,1,1,2
52072,2,6,3,1,1,2
52073,6,7,5,1,1,1
52074,2,4,5,1,1,2
52075,99,6,1,2,1,2
52076,6,10,5,1,1,2
52077,1,6,4,1,1,2
52078,3,6,5,2,1,2
52079,99,4,1,2,1,2
52080,77,4,3,2,1,1
52081,2,7,5,1,1,2
52082,99,4,1,2,1,1
52083,6,4,3,2,1,2
52084,3,8,5,1,1,1
52085,1,7,5,1,1,1
52086,99,5,5,1,1,2
52087,99,4,1,2,1,2
52088,1,5,3,1,1,2
52089,4,4,2,2,1,2
52090,6,6,5,1,1,1
52091,3,4,3,1,1,2
52092,3,5,4,1,1,1
52093,99,4,2,2,1,1
52094,99,3,77,2,1,2
52095,5,7,5,1,1,1
52096,99,4,3,2,1,2
52097,2,5,4,2,2,1
52098,3,4,1,2,1,2
52099,2,7,4,1,2,2
52100,2,9,5,1,1,2
52101,3,7,4,1,1,2
52102,1,10,4,1,1,2
52103,3,8,5,1,1,2
52104,6,6,5,1,1,1
52105,77,6,1,2,7,2
52106,4,6,1,2,1,2
52107,6,4,2,2,1,2
52108,99,5,2,2,1,2
52109,1,5,5,1,1,1
52110,1,7,4,1,1,1
52111,99,2,2,2,1,2
52112,6,5,5,1,1,2
52113,6,5,2,2,1,2
52114,1,10,4,1,1,1
52115,6,8,5,1,1,2
52116,99,4,1,2,2,2
52117,1,5,1,1,1,2
52118,2,4,3,2,1,2
52119,6,4,5,2,1,2
52120,99,5,4,2,1,2
52121,2,5,2,2,1,2
52122,3,10,5,1,1,1
52123,6,5,2,2,1,2
52124,4,3,5,2,1,2
52125,6,1,1,2,1,2
52126,1,5,4,1,1,1
52127,3,3,4,1,1,2
52128,1,6,2,2,1,2
52129,5,8,2,3,1,1
52130,3,7,4,2,1,2
52131,1,6,4,1,1,2
52132,2,6,2,2,1,2
52133,6,7,3,1,1,2
52134,6,7,5,1,1,2
52135,1,7,4,1,2,1
52136,1,4,2,1,1,2
52137,4,6,1,1,1,2
52138,3,8,4,1,1,2
52139,5,6,4,1,1,2
52140,1,6,1,1,1,2
52141,4,9,5,1,1,1
52142,3,5,3,2,1,2
52143,2,5,4,2,1,2
52144,6,7,2,2,1,2
52145,99,4,1,2,1,2
52146,3,4,2,1,1,2
52147,99,5,2,2,1,2
52148,3,6,2,1,1,2
52149,3,3,3,2,1,2
52150,4,6,3,2,1,2
52151,3,4,2,3,1,2
52152,3,5,4,1,1,2
52153,99,6,1,1,1,2
52154,99,6,4,1,1,2
52155,5,8,5,1,1,1
52156,1,9,3,2,1,2
52157,1,8,4,1,2,1
52158,4,6,4,1,1,2
52159,6,9,5,1,1,1
52160,1,7,3,1,1,1
52161,3,5,5,1,2,2
52162,99,5,5,2,1,2
52163,4,7,3,1,1,1
52164,1,8,4,1,1,1
52165,3,5,3,2,1,1
52166,6,4,1,2,1,2
52167,1,9,5,1,1,1
52168,4,5,5,1,1,1
52169,2,5,3,2,1,2
52170,99,4,4,2,1,2
52171,99,4,1,2,1,2
52172,2,5,4,2,2,2
52173,3,7,5,1,1,2
52174,5,4,5,1,1,2
52175,99,6,3,1,1,2
52176,99,5,4,2,1,2
52177,1,8,5,1,1,1
52178,99,4,1,2,1,2
52179,1,9,3,2,1,2
52180,4,5,1,2,1,2
52181,1,5,3,1,1,2
52182,6,8,5,1,2,2
52183,3,3,1,2,1,2
52184,6,5,1,1,1,1
52185,3,6,4,1,1,2
52186,3,5,5,1,2,1
52187,5,7,2,1,1,1
52188,2,4,5,2,1,2
52189,6,8,5,1,2,2
52190,99,3,2,2,1,2
52191,5,5,5,2,1,2
52192,5,5,5,1,1,2
52193,6,13,5,1,2,1
52194,3,6,4,1,1,1
52195,1,9,4,1,1,1
52196,3,8,3,1,1,1
52197,3,6,4,1,1,2
52198,2,7,2,2,1,2
52199,99,5,1,1,1,2
52200,4,4,3,2,1,2
52201,99,6,1,2,9,2
52202,3,7,5,1,1,2
52203,3,7,1,1,1,2
52204,6,10,3,1,1,2
52205,1,7,4,1,2,1
52206,99,4,3,2,9,2
52207,2,8,5,1,1,2
52208,4,11,4,3,3,2
52209,2,5,2,2,1,2
52210,99,5,1,2,2,2
52211,99,3,99,2,1,2
52212,1,2,4,3,1,2
52213,4,4,2,2,1,2
52214,2,4,2,3,1,2
52215,99,4,3,3,1,2
52216,2,6,4,1,1,1
52217,1,10,5,1,2,2
52218,1,7,4,1,1,2
52219,1,11,5,1,1,1
52220,99,6,3,2,1,2
52221,3,7,5,1,1,2
52222,6,6,3,1,3,1
52223,99,2,1,2,1,2
52224,NA,NA,NA,NA,NA,NA
52225,3,5,2,3,1,2
52226,3,6,4,1,1,2
52227,3,5,5,1,2,2
52228,4,3,1,2,1,2
52229,3,9,5,1,1,2
52230,1,7,2,1,1,2
52231,3,9,5,1,2,1
52232,99,3,1,2,1,2
52233,3,5,2,2,1,2
52234,99,4,4,1,1,2
52235,2,4,1,2,1,2
52236,99,4,1,2,1,2
52237,6,8,3,1,1,2
52238,99,4,3,2,1,2
52239,5,6,5,1,1,2
52240,99,8,3,3,1,2
52241,99,7,3,2,1,2
52242,2,4,3,2,1,2
52243,3,11,5,1,2,1
52244,4,6,5,1,1,2
52245,1,9,4,1,1,2
52246,99,5,2,2,1,2
52247,1,9,5,1,1,2
52248,6,8,3,2,1,2
52249,3,5,4,2,1,2
52250,2,5,5,1,1,2
52251,5,5,4,2,2,2
52252,3,8,5,1,1,2
52253,99,5,3,2,1,2
52254,99,3,1,2,1,2
52255,5,5,5,1,1,2
52256,2,4,3,1,1,1
52257,99,4,2,2,1,2
52258,99,5,2,2,1,2
52259,1,6,1,1,1,2
52260,4,10,5,1,1,2
52261,4,5,1,2,1,2
52262,4,6,5,1,1,1
52263,4,7,4,1,1,2
52264,99,5,4,2,1,2
52265,3,3,3,2,1,1
52266,99,6,3,2,1,2
52267,99,3,5,2,1,2
52268,2,6,3,1,1,1
52269,1,7,2,1,1,2
52270,99,5,1,2,1,2
52271,2,5,3,1,1,2
52272,5,5,5,2,1,2
52273,3,5,5,1,1,2
52274,1,4,4,1,2,2
52275,99,5,5,2,1,2
52276,1,9,2,1,2,1
52277,99,4,3,1,1,2
52278,99,4,3,2,1,2
52279,5,7,1,2,1,2
52280,99,4,4,2,1,2
52281,1,6,4,1,1,2
52282,4,6,4,1,1,1
52283,3,7,4,1,1,2
52284,2,5,4,1,9,1
52285,99,5,3,2,1,2
52286,1,12,2,1,2,1
52287,3,4,5,1,1,1
52288,2,6,5,1,1,1
52289,4,8,5,1,1,1
52290,99,5,3,2,1,2
52291,6,7,5,1,1,2
52292,99,5,5,1,1,2
52293,3,7,5,1,2,2
52294,NA,NA,NA,NA,NA,NA
52295,99,13,2,1,1,2
52296,3,4,2,2,1,2
52297,99,4,1,2,1,2
52298,1,7,4,2,1,1
52299,4,5,5,1,1,1
52300,99,3,1,2,1,2
52301,99,6,1,2,1,2
52302,1,6,2,1,1,2
52303,4,6,5,1,2,2
52304,3,9,5,1,1,2
52305,3,4,3,2,1,2
52306,3,4,2,2,1,1
52307,1,5,4,3,1,1
52308,2,8,5,1,1,1
52309,1,7,3,2,1,2
52310,1,6,5,1,2,1
52311,1,7,4,2,1,1
52312,99,3,1,2,1,2
52313,3,4,3,1,1,2
52314,6,7,3,1,1,1
52315,6,8,5,1,1,2
52316,3,8,5,1,1,1
52317,1,12,3,1,1,2
52318,99,4,4,2,1,2
52319,4,8,3,1,1,1
52320,4,6,3,1,1,2
52321,2,6,4,1,1,1
52322,99,4,1,2,1,2
52323,6,7,1,2,1,1
52324,6,2,3,2,2,2
52325,99,3,1,2,1,2
52326,1,4,2,2,1,2
52327,3,7,5,1,1,2
52328,99,5,3,1,1,2
52329,4,4,2,2,1,2
52330,6,7,5,1,1,2
52331,2,4,1,1,1,2
52332,4,7,3,1,1,2
52333,1,6,4,1,1,2
52334,2,6,5,1,1,2
52335,1,8,1,2,1,2
52336,3,8,4,1,1,2
52337,1,5,3,1,1,1
52338,3,4,2,2,1,2
52339,4,8,5,1,1,1
52340,1,8,4,1,1,2
52341,4,6,2,2,1,2
52342,99,7,3,2,1,2
52343,3,3,4,2,1,1
52344,6,4,1,2,1,2
52345,3,6,2,2,1,2
52346,99,4,2,2,1,2
52347,1,12,1,1,1,1
52348,5,6,5,1,1,2
52349,1,3,2,2,1,2
52350,6,13,5,1,1,1
52351,3,5,5,1,1,2
52352,99,5,1,2,1,1
52353,99,4,4,1,1,1
52354,1,9,4,1,1,2
52355,1,8,4,1,1,2
52356,99,6,4,2,1,2
52357,6,13,4,1,1,1
52358,99,4,2,2,1,2
52359,99,4,3,2,1,2
52360,3,8,3,1,1,1
52361,99,3,1,2,1,2
52362,2,4,1,2,1,1
52363,1,9,4,1,2,1
52364,1,7,3,1,1,1
52365,1,6,4,2,1,2
52366,99,7,5,1,1,2
52367,6,8,3,1,1,2
52368,6,8,4,1,1,2
52369,6,6,5,1,1,2
52370,1,8,2,1,2,2
52371,2,6,3,1,1,1
52372,1,13,5,1,1,2
52373,3,4,4,1,1,2
52374,6,7,2,1,1,2
52375,3,5,4,1,1,2
52376,1,5,5,1,1,2
52377,99,4,4,2,1,2
52378,6,9,4,1,1,2
52379,99,3,2,2,1,1
52380,99,5,2,2,1,2
52381,2,4,2,2,1,1
52382,99,4,1,2,1,2
52383,3,4,1,2,1,2
52384,99,6,5,1,1,2
52385,99,5,2,2,1,2
52386,3,6,4,1,1,2
52387,3,4,2,2,1,2
52388,99,6,1,2,1,2
52389,6,2,3,2,1,2
52390,3,4,2,2,1,2
52391,5,8,5,1,1,2
52392,99,3,1,2,1,2
52393,3,7,4,1,2,1
52394,1,6,4,1,1,2
52395,99,3,4,2,1,2
52396,4,7,4,1,1,2
52397,4,1,4,2,1,2
52398,99,4,3,2,1,2
52399,6,8,5,1,1,2
52400,3,8,5,1,1,2
52401,1,7,5,1,1,2
52402,6,5,4,2,2,2
52403,99,3,3,2,1,1
52404,1,6,3,1,1,2
52405,99,4,4,2,1,2
52406,1,6,2,1,1,1
52407,3,4,4,1,1,2
52408,3,7,5,1,2,2
52409,99,6,4,1,1,2
52410,1,6,5,1,1,2
52411,2,6,5,1,1,2
52412,6,9,5,1,1,1
52413,3,6,3,1,2,2
52414,2,4,3,2,1,1
52415,5,4,1,2,1,2
52416,3,5,5,1,1,2
52417,4,4,2,2,1,2
52418,5,7,1,2,1,1
52419,1,6,4,1,1,2
52420,3,9,5,1,1,2
52421,5,5,3,2,1,2
52422,3,5,5,1,1,2
52423,99,5,1,2,1,2
52424,3,7,3,2,1,2
52425,2,4,3,1,1,1
52426,5,8,4,1,1,1
52427,77,3,2,2,1,2
52428,99,5,3,2,1,2
52429,3,8,3,1,1,1
52430,99,4,3,2,1,2
52431,3,5,5,1,1,2
52432,6,5,2,2,1,2
52433,4,7,5,1,2,2
52434,1,5,4,1,1,2
52435,1,5,4,1,1,2
52436,99,4,4,2,2,2
52437,2,5,2,2,1,2
52438,6,6,1,2,1,2
52439,6,6,2,3,1,2
52440,99,3,3,2,1,2
52441,99,5,4,2,1,2
52442,1,7,2,1,1,1
52443,99,5,2,1,1,2
52444,99,6,5,1,1,2
52445,1,11,5,1,1,2
52446,2,5,5,1,1,2
52447,1,6,5,1,1,2
52448,6,7,4,1,1,2
52449,2,5,3,1,1,2
52450,5,7,5,1,1,2
52451,3,5,1,2,1,2
52452,99,6,1,2,1,2
52453,3,8,3,1,1,2
52454,99,4,2,2,1,2
52455,2,4,2,2,1,2
52456,2,7,5,1,1,1
52457,4,9,5,1,1,2
52458,99,5,5,1,1,2
52459,3,4,3,1,1,1
52460,99,4,3,2,1,2
52461,3,5,3,2,1,2
52462,3,8,5,1,2,1
52463,1,4,3,1,2,1
52464,1,11,4,1,1,2
52465,5,6,5,1,2,2
52466,1,9,4,1,2,1
52467,6,5,4,1,1,2
52468,6,12,5,1,1,2
52469,1,8,5,1,1,1
52470,1,10,1,1,2,1
52471,4,5,4,1,1,1
52472,1,8,2,2,1,2
52473,99,4,1,3,1,2
52474,99,7,2,1,1,2
52475,6,7,2,2,1,2
52476,99,3,3,2,1,2
52477,99,6,2,2,1,1
52478,2,6,4,1,1,2
52479,99,7,3,2,2,1
52480,4,5,1,2,1,2
52481,99,4,3,2,1,1
52482,5,8,4,1,1,1
52483,3,7,5,1,1,2
52484,1,6,2,1,2,1
52485,99,6,2,2,1,1
52486,1,6,3,2,1,2
52487,99,1,2,3,1,2
52488,3,6,2,1,1,1
52489,2,5,1,2,2,2
52490,99,5,3,2,1,2
52491,3,7,5,1,2,2
52492,4,8,5,1,1,1
52493,6,4,3,1,1,2
52494,3,7,5,1,2,1
52495,3,7,4,1,1,2
52496,1,6,2,1,1,2
52497,99,3,5,2,1,1
52498,99,6,2,2,1,2
52499,5,9,1,3,1,2
52500,3,7,2,2,1,2
52501,6,6,5,1,1,1
52502,1,5,4,2,1,2
52503,77,5,5,2,1,2
52504,99,7,1,2,2,2
52505,99,7,3,2,1,2
52506,6,6,3,2,1,2
52507,99,5,1,2,1,2
52508,1,5,3,1,1,2
52509,6,5,5,1,2,1
52510,1,9,3,1,1,1
52511,3,7,2,1,1,1
52512,1,6,2,1,1,2
52513,99,5,5,1,1,2
52514,1,5,4,1,1,1
52515,1,7,5,1,2,1
52516,4,7,5,1,1,2
52517,99,10,4,2,1,2
52518,3,9,3,1,1,1
52519,3,7,5,1,1,2
52520,99,4,1,2,9,1
52521,6,7,1,1,2,1
52522,99,3,1,2,1,2
52523,6,7,1,2,1,2
52524,6,10,5,1,2,1
52525,1,3,5,2,1,2
52526,6,5,1,2,2,2
52527,99,5,4,2,1,2
52528,99,5,2,2,1,2
52529,3,6,5,1,2,2
52530,6,10,5,1,1,2
52531,3,5,1,2,1,2
52532,3,5,5,1,1,2
52533,4,9,5,1,1,1
52534,99,4,1,2,1,2
52535,1,10,3,1,1,2
52536,3,6,4,1,1,1
52537,6,6,5,1,1,2
52538,1,7,3,1,1,2
52539,3,4,3,2,1,2
52540,6,9,4,2,1,2
52541,1,9,1,1,1,2
52542,3,4,2,2,1,2
52543,1,6,3,1,2,1
52544,4,7,4,1,1,2
52545,6,9,3,1,1,2
52546,2,6,1,2,1,2
52547,1,999,4,1,1,1
52548,3,5,5,1,1,2
52549,1,5,2,1,1,2
52550,2,6,4,1,2,1
