"seqn","hoq011","hod030","hoq040","hod050","hod060","hoq065","hoq070","hoq080","hoq230","hoq240","hoq250","hoq260a","hoq260b","hoq260c","hoq270","hoq280a","hoq280b","hoq280c"
31213,2,NA,4,6,5,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31214,2,NA,2,8,4,1,1,2,2,2,1,1,2,NA,NA,NA,NA,NA
31215,2,NA,3,6,4,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31216,2,NA,1,6,3,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31217,3,NA,99,4,4,2,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31218,2,NA,4,9,4,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31219,2,NA,3,7,5,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31220,2,NA,2,7,5,1,1,1,2,1,1,1,2,NA,NA,NA,NA,NA
31221,2,NA,6,6,5,1,1,2,2,2,1,NA,2,NA,NA,NA,NA,NA
31222,2,NA,99,4,1,2,1,1,1,2,2,NA,NA,NA,2,NA,NA,NA
31223,2,NA,6,6,5,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31224,3,NA,1,11,3,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31225,2,NA,2,8,3,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA
31226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31227,2,NA,3,9,5,1,2,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31228,4,3,99,4,2,2,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31229,2,NA,1,8,2,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31230,2,NA,99,4,4,2,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31231,4,5,2,6,1,2,1,2,2,2,1,NA,2,NA,NA,NA,NA,NA
31232,4,5,99,4,2,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31233,2,NA,3,7,5,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31234,3,NA,3,7,2,2,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31235,1,NA,1,8,4,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31236,2,NA,3,6,1,1,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31237,4,7,99,2,2,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA
31238,4,7,99,4,2,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31239,2,NA,2,1,5,1,2,1,2,2,1,1,2,NA,NA,NA,NA,NA
31240,2,NA,1,5,4,1,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31241,2,NA,99,12,2,1,1,2,2,1,1,NA,2,NA,NA,NA,NA,NA
31242,2,NA,2,8,5,1,1,2,1,2,2,NA,NA,NA,1,1,NA,NA
31243,3,NA,3,5,5,1,1,2,1,2,1,1,NA,NA,NA,NA,NA,NA
31244,4,4,6,2,1,2,1,2,2,2,1,NA,2,NA,NA,NA,NA,NA
31245,2,NA,4,6,3,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31246,2,NA,2,5,5,1,2,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31247,2,NA,4,7,1,2,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA
31248,2,NA,5,5,2,2,1,1,1,1,2,NA,NA,NA,2,NA,NA,NA
31249,4,5,2,5,1,2,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31250,2,NA,1,5,3,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31251,4,4,99,5,2,2,1,2,1,1,2,NA,NA,NA,2,NA,NA,NA
31252,2,NA,1,4,1,1,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31253,4,5,1,4,1,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31254,4,5,99,3,1,2,9,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31255,2,NA,99,5,4,3,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31256,2,NA,99,6,2,1,1,1,2,1,2,NA,NA,NA,2,NA,NA,NA
31257,2,NA,1,6,5,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31258,2,NA,5,4,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31259,4,5,99,4,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31260,4,5,99,6,3,2,1,2,1,2,2,NA,NA,NA,2,NA,NA,NA
31261,2,NA,1,6,4,1,2,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31262,2,NA,1,4,3,1,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31263,2,NA,2,6,5,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31264,2,NA,1,8,2,1,2,1,2,2,1,NA,NA,3,NA,NA,NA,NA
31265,3,NA,99,5,4,3,1,2,1,2,2,NA,NA,NA,2,NA,NA,NA
31266,3,NA,1,5,2,1,1,2,2,2,1,NA,2,NA,NA,NA,NA,NA
31267,2,NA,1,4,4,2,1,2,2,2,1,1,NA,3,NA,NA,NA,NA
31268,1,NA,2,5,1,2,2,1,1,1,2,NA,NA,NA,2,NA,NA,NA
31269,2,NA,1,5,1,1,1,9,2,1,1,1,NA,NA,NA,NA,NA,NA
31270,4,4,6,5,1,2,2,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31271,4,5,99,4,3,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31272,1,NA,2,6,3,2,1,2,2,1,2,NA,NA,NA,1,1,NA,NA
31273,2,NA,3,6,5,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31274,4,6,99,4,2,2,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31275,2,NA,3,7,3,1,1,2,1,2,1,1,NA,NA,NA,NA,NA,NA
31276,2,NA,3,7,3,1,1,2,2,1,2,NA,NA,NA,1,1,NA,NA
31277,2,NA,2,6,5,1,2,1,2,2,1,1,2,NA,NA,NA,NA,NA
31278,2,NA,99,6,5,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31279,4,4,3,3,3,2,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31280,2,NA,2,9,5,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31281,4,7,99,4,2,2,1,2,1,2,1,NA,2,NA,NA,NA,NA,NA
31282,2,NA,1,13,3,1,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31283,4,7,99,3,4,2,1,1,2,1,2,NA,NA,NA,2,NA,NA,NA
31284,2,NA,1,11,5,1,2,1,2,2,2,NA,NA,NA,1,1,NA,NA
31285,2,NA,3,4,5,1,1,2,2,2,1,NA,2,NA,NA,NA,NA,NA
31286,4,3,99,4,3,2,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31287,4,99,99,6,1,2,9,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31288,6,NA,1,1,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31289,2,NA,1,5,2,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31290,2,NA,99,4,1,2,1,1,1,2,2,NA,NA,NA,2,NA,NA,NA
31291,4,4,99,5,2,2,1,9,2,1,2,NA,NA,NA,2,NA,NA,NA
31292,3,NA,5,8,3,1,1,2,2,1,1,1,2,3,NA,NA,NA,NA
31293,4,1,99,4,2,2,1,1,2,1,2,NA,NA,NA,2,NA,NA,NA
31294,2,NA,3,6,5,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31295,2,NA,5,8,1,2,2,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31296,1,NA,1,7,5,1,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31297,2,NA,1,4,3,3,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31298,2,NA,2,8,3,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA
31299,2,NA,4,6,5,1,1,2,2,2,1,1,2,NA,NA,NA,NA,NA
31300,2,NA,99,6,4,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31301,2,NA,3,6,5,1,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31302,2,NA,2,9,1,1,2,2,1,2,1,1,NA,NA,NA,NA,NA,NA
31303,2,NA,99,5,1,2,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31304,2,NA,99,4,3,2,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31305,2,NA,1,8,2,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31306,3,NA,3,6,3,2,1,2,2,1,1,NA,2,NA,NA,NA,NA,NA
31307,2,NA,5,4,5,1,1,2,2,1,2,NA,NA,NA,1,1,NA,NA
31308,2,NA,3,6,5,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31309,2,NA,99,6,1,3,1,2,1,2,2,NA,NA,NA,1,1,NA,NA
31310,2,NA,3,10,4,1,1,2,2,2,1,1,2,NA,NA,NA,NA,NA
31311,2,NA,4,7,5,1,1,2,2,2,1,1,2,NA,NA,NA,NA,NA
31312,2,NA,1,7,1,1,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31313,3,NA,99,7,1,2,1,9,2,2,2,NA,NA,NA,2,NA,NA,NA
31314,2,NA,4,6,3,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31315,2,NA,1,5,1,1,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31316,2,NA,3,11,2,1,1,1,1,2,1,NA,2,NA,NA,NA,NA,NA
31317,6,NA,1,1,1,2,1,2,1,2,2,NA,NA,NA,2,NA,NA,NA
31318,2,NA,3,5,2,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31319,4,7,2,3,2,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31320,4,4,99,4,3,2,1,2,1,1,2,NA,NA,NA,2,NA,NA,NA
31321,4,4,99,3,1,2,1,2,1,2,2,NA,NA,NA,2,NA,NA,NA
31322,3,NA,99,4,2,3,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31323,2,NA,3,7,5,1,1,2,1,2,2,NA,NA,NA,2,NA,NA,NA
31324,2,NA,3,6,1,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31325,4,3,4,4,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31326,3,NA,1,5,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31327,3,NA,2,5,2,1,1,1,2,2,2,NA,NA,NA,1,1,NA,NA
31328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31329,2,NA,2,1,5,1,2,1,2,2,1,1,2,NA,NA,NA,NA,NA
31330,2,NA,99,8,1,1,1,2,2,2,1,NA,NA,3,NA,NA,NA,NA
31331,1,NA,1,7,4,1,2,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31332,2,NA,3,10,5,1,1,2,2,2,2,NA,NA,NA,1,NA,2,NA
31333,2,NA,99,5,4,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31334,4,7,99,3,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31335,4,4,2,4,3,1,2,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31336,1,NA,3,6,5,1,2,1,2,2,1,1,NA,NA,NA,NA,NA,NA
31337,2,NA,3,8,5,1,1,1,2,2,1,1,2,NA,NA,NA,NA,NA
31338,1,NA,2,4,2,1,2,2,1,2,2,NA,NA,NA,2,NA,NA,NA
31339,3,NA,2,5,5,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31340,2,NA,1,7,2,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31341,4,5,3,4,5,2,1,2,1,2,2,NA,NA,NA,2,NA,NA,NA
31342,2,NA,6,6,2,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31343,2,NA,3,10,5,1,1,1,1,2,1,1,2,NA,NA,NA,NA,NA
31344,2,NA,4,9,5,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA
31345,2,NA,1,7,4,1,2,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31346,2,NA,1,7,3,1,2,1,2,2,1,1,2,NA,NA,NA,NA,NA
31347,2,NA,3,6,2,1,2,1,2,2,1,1,2,NA,NA,NA,NA,NA
31348,2,NA,2,10,5,1,1,2,1,2,2,NA,NA,NA,2,NA,NA,NA
31349,2,NA,99,7,3,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA
31350,2,NA,2,7,2,1,1,2,1,2,1,NA,2,NA,NA,NA,NA,NA
31351,2,NA,3,11,2,1,1,1,1,2,1,NA,2,NA,NA,NA,NA,NA
31352,2,NA,99,5,2,2,1,2,2,1,2,NA,NA,NA,1,1,2,NA
31353,2,NA,3,5,5,1,1,2,2,2,1,NA,2,NA,NA,NA,NA,NA
31354,2,NA,3,7,2,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31355,2,NA,1,6,2,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31356,2,NA,4,6,1,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31357,2,NA,4,10,5,1,1,2,2,2,1,1,2,NA,NA,NA,NA,NA
31358,2,NA,5,6,5,1,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31359,3,NA,99,4,1,2,2,2,1,1,2,NA,NA,NA,2,NA,NA,NA
31360,2,NA,3,8,2,1,1,2,1,2,1,1,NA,NA,NA,NA,NA,NA
31361,3,NA,5,7,2,3,1,2,1,1,1,1,2,NA,NA,NA,NA,NA
31362,2,NA,3,6,4,1,1,2,2,2,1,NA,NA,3,NA,NA,NA,NA
31363,2,NA,99,8,2,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA
31364,2,NA,5,11,5,1,1,2,2,2,2,NA,NA,NA,1,NA,2,NA
31365,2,NA,6,6,2,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA
31366,3,NA,99,4,2,2,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31367,2,NA,2,9,5,1,2,1,2,2,1,1,2,NA,NA,NA,NA,NA
31368,2,NA,3,5,3,1,1,2,1,2,1,1,NA,NA,NA,NA,NA,NA
31369,1,NA,1,9,1,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31370,2,NA,4,4,5,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31371,3,NA,6,6,5,1,1,1,2,1,2,NA,NA,NA,2,NA,NA,NA
31372,3,NA,1,4,2,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31373,2,NA,99,6,4,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31374,2,NA,3,5,1,2,1,2,2,2,2,NA,NA,NA,1,1,NA,NA
31375,4,7,99,2,2,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA
31376,2,NA,4,4,2,1,1,2,1,2,1,1,NA,NA,NA,NA,NA,NA
31377,2,NA,3,10,2,1,1,2,2,2,1,NA,2,NA,NA,NA,NA,NA
31378,2,NA,3,5,5,1,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31379,4,3,99,3,3,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31380,2,NA,99,7,1,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31381,2,NA,6,8,4,1,2,2,1,2,1,1,NA,NA,NA,NA,NA,NA
31382,2,NA,1,6,4,1,1,2,2,2,1,NA,2,NA,NA,NA,NA,NA
31383,2,NA,3,6,2,2,1,2,1,2,2,NA,NA,NA,1,1,NA,NA
31384,2,NA,3,6,2,1,1,1,2,2,1,1,2,NA,NA,NA,NA,NA
31385,2,NA,3,10,5,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31386,2,NA,1,6,2,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA
31387,4,5,99,6,1,2,1,2,1,1,2,NA,NA,NA,2,NA,NA,NA
31388,2,NA,6,8,4,1,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31389,2,NA,5,5,5,1,1,2,1,2,2,NA,NA,NA,2,NA,NA,NA
31390,3,NA,1,5,1,2,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA
31391,1,NA,2,3,5,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31392,2,NA,1,7,4,1,1,2,2,2,1,1,2,NA,NA,NA,NA,NA
31393,3,NA,99,5,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31394,4,5,99,4,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31395,2,NA,99,5,3,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31396,3,NA,6,4,4,2,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA
31397,2,NA,1,8,1,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31398,3,NA,4,6,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31399,2,NA,2,9,5,1,2,2,1,2,1,1,2,NA,NA,NA,NA,NA
31400,3,NA,2,6,2,3,1,9,2,2,2,NA,NA,NA,2,NA,NA,NA
31401,2,NA,3,7,1,1,1,1,2,2,1,1,2,NA,NA,NA,NA,NA
31402,2,NA,3,5,2,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31403,2,NA,99,6,1,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31404,2,NA,3,7,3,1,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31405,2,NA,99,5,1,1,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31406,3,NA,6,6,2,2,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31407,2,NA,1,10,5,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31408,4,4,4,6,3,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31409,2,NA,1,9,3,1,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31410,2,NA,2,11,2,1,1,1,1,1,1,NA,NA,3,NA,NA,NA,NA
31411,4,4,99,3,2,2,1,2,2,1,2,NA,NA,NA,1,1,NA,NA
31412,1,NA,1,5,2,1,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31413,2,NA,2,8,3,1,1,2,1,2,1,1,2,NA,NA,NA,NA,NA
31414,2,NA,1,6,2,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31415,2,NA,1,3,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31416,2,NA,1,5,3,1,2,1,2,2,1,1,2,NA,NA,NA,NA,NA
31417,2,NA,99,12,2,1,1,2,2,1,1,NA,2,NA,NA,NA,NA,NA
31418,2,NA,4,5,4,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31419,4,3,99,4,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31420,4,4,99,4,2,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31421,4,5,99,4,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31422,2,NA,1,10,4,1,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31423,2,NA,1,6,4,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31424,4,1,99,4,1,2,9,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31425,2,NA,3,6,5,1,2,1,2,2,2,NA,NA,NA,1,1,NA,NA
31426,2,NA,99,6,4,1,1,1,9,2,1,1,NA,NA,NA,NA,NA,NA
31427,2,NA,99,6,3,2,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
